id_mercancia,id_stock,cantidad
1,39,59
1,77,21
1,88,11
1,95,36
2,29,13
2,105,87
2,10,29
2,89,33
2,77,28
2,16,97
3,13,24
3,3,86
3,59,28
3,48,77
4,24,59
4,55,33
4,9,48
4,46,95
5,32,77
5,88,85
5,104,82
5,59,93
5,49,62
5,98,59
6,84,52
6,110,41
6,81,84
6,20,23
6,22,21
7,111,73
7,76,43
7,74,44
7,104,96
7,90,45
8,28,10
8,100,70
8,21,60
8,84,71
9,57,74
9,117,100
9,31,99
9,111,77
10,13,89
10,73,82
10,37,45
10,20,17
10,93,69
10,108,64
11,27,88
11,80,47
11,19,15
11,82,13
12,85,51
12,91,95
12,13,85
12,67,26
13,10,31
13,82,61
13,14,23
13,66,34
13,74,66
14,64,38
14,117,12
14,81,25
14,30,59
14,82,93
15,58,21
15,29,50
15,12,76
15,5,44
15,86,39
15,37,60
16,95,40
16,51,84
16,35,32
16,13,13
16,1,42
16,16,32
17,19,48
17,22,60
17,89,14
17,30,61
18,116,96
18,114,77
18,69,44
18,13,50
19,21,24
19,93,57
19,39,74
19,74,53
19,34,78
19,112,80
20,105,70
20,46,59
20,84,19
20,37,75
20,28,23
20,73,33
21,48,41
21,45,21
21,90,37
21,27,70
21,44,85
22,10,65
22,36,28
22,55,15
22,26,58
22,117,62
22,75,97
23,116,99
23,106,10
23,82,53
23,60,92
24,57,58
24,88,15
24,31,42
24,71,86
24,65,89
25,89,68
25,115,60
25,7,23
25,14,27
25,83,73
26,103,53
26,25,95
26,31,66
26,18,26
26,36,79
26,77,30
27,57,96
27,20,96
27,40,54
27,85,82
28,84,91
28,115,41
28,93,80
28,113,18
28,42,12
28,101,92
29,35,62
29,112,48
29,102,74
29,20,95
29,8,26
29,77,29
30,14,23
30,57,60
30,8,18
30,85,59
30,3,48
30,16,89
31,46,59
31,89,13
31,4,46
31,115,64
32,13,37
32,27,45
32,73,36
32,119,33
32,62,33
32,108,81
33,114,85
33,113,98
33,92,35
33,4,24
34,73,40
34,31,35
34,81,56
34,4,89
34,88,74
35,2,22
35,23,24
35,59,28
35,28,98
35,108,80
36,86,87
36,67,26
36,61,12
36,44,76
37,74,45
37,8,74
37,69,44
37,112,81
37,91,81
37,21,99
38,81,81
38,101,11
38,29,10
38,102,52
39,76,79
39,103,27
39,106,35
39,30,50
39,27,19
39,46,22
40,96,67
40,92,69
40,28,20
40,109,65
40,9,28
41,110,94
41,10,73
41,74,42
41,60,62
41,12,67
41,63,71
42,64,78
42,88,10
42,21,99
42,96,70
42,30,49
43,103,29
43,7,21
43,84,36
43,67,23
44,87,14
44,77,93
44,114,79
44,73,59
44,3,21
45,7,29
45,120,96
45,68,61
45,52,73
45,41,44
45,110,76
46,49,80
46,37,62
46,9,18
46,60,62
46,100,28
46,14,41
47,5,30
47,102,42
47,40,88
47,77,64
47,43,79
47,6,21
48,2,91
48,37,15
48,104,63
48,6,10
49,91,31
49,61,10
49,108,99
49,102,25
49,46,12
49,22,82
50,36,93
50,43,37
50,116,54
50,75,85
50,49,94
50,52,32
51,80,38
51,21,58
51,16,26
51,62,74
52,72,70
52,61,11
52,73,37
52,81,17
53,37,46
53,23,41
53,12,94
53,106,92
53,96,42
54,88,11
54,30,48
54,65,57
54,114,22
54,86,47
55,67,89
55,58,55
55,106,38
55,59,72
55,33,41
56,101,17
56,59,16
56,102,64
56,64,97
56,106,47
57,42,85
57,62,76
57,89,37
58,27,47
58,39,48
58,103,93
58,16,91
58,7,98
59,5,20
59,105,10
59,99,24
59,69,37
60,84,33
60,20,49
60,58,18
60,15,30
61,78,53
61,87,68
61,40,24
61,66,95
61,92,72
62,53,85
62,60,76
62,39,46
62,44,63
62,64,61
63,111,92
63,26,24
63,99,90
63,118,26
64,66,92
64,58,58
64,102,25
64,43,43
65,72,40
65,80,22
65,118,78
65,113,29
66,39,25
66,61,58
66,75,93
66,82,78
66,119,43
66,4,79
67,47,65
67,119,60
67,115,79
67,46,31
67,55,92
67,16,62
68,113,55
68,77,76
68,38,22
68,31,56
68,111,89
68,54,97
69,46,60
69,88,49
69,27,41
69,72,46
70,29,14
70,100,80
70,22,77
70,81,14
70,7,54
71,39,33
71,64,30
71,53,86
71,59,93
71,55,92
71,38,78
72,39,74
72,90,33
72,46,91
72,87,20
72,116,39
72,72,26
73,23,10
73,5,15
73,24,80
73,75,53
74,77,94
74,9,27
74,95,20
74,26,29
74,20,71
74,7,62
75,104,70
75,72,28
75,24,33
75,29,63
75,16,69
75,49,10
76,14,60
76,97,36
76,51,28
76,55,65
77,42,58
77,91,24
77,58,91
77,76,88
77,24,16
78,78,34
78,47,75
78,35,13
78,15,85
78,16,69
79,49,83
79,27,11
79,117,100
79,52,21
80,31,92
80,25,33
80,84,61
80,118,61
80,49,63
81,21,74
81,15,85
81,27,23
81,62,23
81,65,77
81,17,93
82,100,58
82,68,84
82,83,50
82,64,72
82,72,78
83,75,83
83,86,21
83,14,17
83,119,78
84,92,38
84,77,60
84,42,28
84,95,68
84,120,38
85,14,24
85,73,47
85,74,55
85,115,29
85,19,19
85,50,12
86,17,11
86,25,74
86,46,83
86,114,12
86,119,31
87,20,44
87,99,56
87,60,68
88,84,50
88,41,24
88,34,23
88,36,100
88,57,48
88,55,25
89,71,12
89,84,24
89,82,20
89,119,15
89,21,67
90,74,67
90,116,34
90,61,14
90,101,30
91,5,71
91,87,62
91,60,99
91,93,17
91,100,13
91,58,10
92,93,30
92,66,72
92,46,18
92,95,85
92,104,41
93,115,75
93,101,75
93,92,16
93,20,39
93,95,67
94,63,38
94,45,67
94,114,40
94,119,11
95,19,46
95,5,67
95,59,33
95,43,92
95,29,79
96,45,97
96,109,19
96,108,29
96,113,19
96,75,28
97,40,23
97,114,11
97,105,44
97,36,86
98,112,63
98,41,84
98,29,97
98,70,78
98,115,28
99,11,59
99,51,56
99,24,32
99,61,83
99,78,100
99,82,31
100,8,29
100,55,65
100,97,67
100,80,96
101,26,15
101,67,12
101,118,22
101,5,60
101,53,64
102,97,41
102,103,82
102,42,87
102,118,81
103,118,10
103,82,58
103,103,93
103,55,58
103,68,68
104,9,82
104,49,52
104,68,98
104,111,46
104,7,38
105,119,90
105,102,83
105,97,42
105,88,63
105,55,94
105,86,41
