cod_ticket,id_elemento_catalogo,cantidad
1,26,4279
1,5,2296
1,48,1221
1,24,4031
1,95,1857
1,25,2615
1,60,786
1,86,1660
1,56,1759
1,85,3303
1,44,4734
1,105,1875
1,109,1650
1,84,3110
1,88,383
1,57,2307
1,20,4562
1,116,2408
1,42,333
1,72,3333
1,73,1235
1,11,764
1,37,4889
2,62,1503
2,50,1111
2,23,4973
2,40,3751
2,59,867
2,31,3813
2,52,3528
2,81,3283
2,26,4472
2,106,1563
2,32,1352
2,29,477
2,21,380
2,30,297
2,14,3082
2,110,879
2,44,1430
2,24,4797
2,88,3388
2,43,3922
2,112,392
2,80,4943
2,10,1466
2,61,3958
2,108,1245
3,47,4872
3,86,3298
3,13,4687
3,90,1269
3,73,3257
3,20,2810
3,12,4738
3,11,3642
3,7,3152
3,87,2682
3,96,2218
3,100,4872
3,15,3844
3,24,3768
3,8,4415
3,4,1605
3,27,3760
3,84,4742
3,59,909
3,34,2365
4,39,2466
4,55,2609
4,100,1287
4,7,4784
4,93,2186
4,108,3723
4,20,2356
4,96,1910
4,79,3768
4,67,2118
4,103,3678
4,37,2042
5,114,4718
5,57,3607
5,25,3254
5,89,4227
5,72,3168
5,92,4707
5,17,2984
5,42,2303
5,59,251
5,115,2477
5,66,4968
5,46,3465
5,19,545
5,20,2050
5,28,4935
5,83,4336
5,120,787
6,107,4782
6,33,3154
6,73,439
6,112,817
6,47,4610
6,66,4922
6,2,1054
6,16,3975
6,19,4103
6,74,3754
6,24,1163
6,63,3125
6,26,847
6,60,4158
6,118,4667
6,44,3771
6,15,4783
6,86,1389
6,115,2387
7,9,4248
7,110,4951
7,52,2288
7,55,4904
7,119,2185
7,46,210
7,16,3327
7,71,1327
7,98,3899
7,12,3676
7,113,4108
7,64,500
7,51,4201
7,47,2027
7,89,1451
7,23,3301
7,103,2094
7,36,685
7,19,2193
7,44,873
8,111,4469
8,44,280
8,115,4127
8,43,2034
8,21,2149
8,22,4021
8,84,1456
8,78,1933
8,95,954
8,7,288
8,54,1005
8,70,1354
9,65,4606
9,10,468
9,37,2080
9,29,2618
9,113,852
9,108,1022
9,92,3529
9,56,4151
9,13,3462
9,54,688
9,68,2732
9,94,2498
9,26,1545
9,19,765
9,21,1755
9,4,4225
9,8,1488
9,70,4148
9,80,1094
9,118,295
9,95,3292
9,66,4139
10,19,4268
10,33,3389
10,88,1210
10,56,3208
10,32,4172
10,6,4903
10,28,1495
10,49,488
10,109,1312
10,29,3653
10,110,4941
10,111,417
10,52,1659
10,116,1950
10,66,4490
10,83,2088
10,68,4220
10,22,1650
10,37,4396
10,85,4340
10,54,882
10,76,4914
10,35,4662
10,23,3595
11,103,1071
11,90,4908
11,13,4757
11,35,826
11,112,2672
11,11,3973
11,89,2408
11,27,2531
11,38,2395
11,116,930
11,99,2431
11,24,4158
11,70,4520
11,22,3918
11,83,1487
11,69,3009
11,119,1462
11,23,4137
11,113,1615
11,47,2290
11,77,3004
12,79,3799
12,58,3841
12,50,2590
12,53,4368
12,100,3166
12,107,1279
12,110,4513
12,19,2100
12,67,1881
12,113,2110
12,34,4450
12,80,2403
12,37,3576
12,8,3214
12,63,2279
12,93,2292
12,115,958
12,52,609
12,85,2074
12,13,1650
12,84,542
12,4,652
12,24,288
12,5,3840
12,31,1833
12,14,4740
12,16,397
12,98,2927
12,74,524
12,82,4791
12,2,2506
12,32,561
13,87,1665
13,83,223
13,20,1195
13,18,1750
13,19,2906
13,94,3215
13,51,1195
13,90,4408
13,70,1693
13,42,4847
13,89,3053
13,2,856
13,63,2271
13,105,2044
13,17,304
13,112,3656
13,35,1862
13,84,4643
13,111,3488
13,79,423
14,40,4567
14,85,4815
14,48,3893
14,98,508
14,119,1379
14,2,3055
14,36,2422
14,70,2186
14,110,1514
14,26,3012
14,97,708
14,49,383
14,90,4921
14,39,3739
14,87,1485
14,23,432
14,50,3068
14,107,1017
14,100,4897
14,89,2909
14,32,2417
14,64,1365
14,76,2091
14,55,4125
14,117,3019
14,3,772
15,56,3102
15,50,331
15,117,1042
15,104,3577
15,80,1093
15,111,845
15,8,2970
15,40,1736
15,52,1545
15,63,1784
15,28,2282
15,29,2928
15,14,661
15,82,2726
16,57,1571
16,31,838
16,94,3608
16,105,2362
16,72,3175
16,18,402
16,44,1429
16,115,402
16,63,2221
16,29,3066
16,74,280
16,83,1937
16,37,4839
16,80,4722
16,12,4326
16,34,3455
16,38,2060
16,6,800
16,33,2752
16,20,2257
16,70,3743
16,118,4449
17,85,4352
17,35,4031
17,87,4539
17,96,318
17,14,1675
17,86,3843
17,72,845
17,43,3360
17,40,1673
17,74,4309
17,29,819
17,41,1317
18,46,4235
18,31,3187
18,7,4713
18,35,3891
18,104,3313
18,5,3887
18,26,4058
18,42,2437
18,39,761
18,20,2435
18,32,4064
18,117,4540
18,102,492
18,64,846
18,78,4831
18,15,2411
18,41,1869
18,108,1528
18,98,2932
18,11,4589
18,37,2810
18,34,3483
19,8,1710
19,11,1754
19,14,3764
19,64,2485
19,18,4427
19,91,3359
19,55,3118
19,87,3632
19,20,1015
19,98,3004
19,78,864
19,25,2529
19,112,3875
19,59,1410
19,22,2325
19,48,880
19,77,3855
20,24,3447
20,83,508
20,61,275
20,53,4475
20,94,758
20,52,1240
20,118,1177
20,102,1116
20,73,1525
20,89,335
20,108,1842
20,80,1244
20,68,3373
20,54,4260
20,8,3205
20,19,3387
21,76,1133
21,78,2846
21,63,3451
21,50,3368
21,51,4482
21,101,829
21,25,3603
21,80,2016
21,75,2095
21,95,1650
21,1,3048
21,113,2012
21,48,2540
21,99,4064
21,20,4640
21,104,2320
21,85,4750
21,8,2656
21,23,3102
21,18,2598
21,120,4552
21,29,2147
21,45,2445
22,55,3954
22,108,4369
22,58,1932
22,100,3567
22,74,1120
22,16,2563
22,78,1905
22,8,3589
22,50,3347
22,82,309
22,14,4059
22,40,1971
22,87,2476
22,95,3405
22,73,1959
22,4,2148
22,104,4266
22,52,1019
22,69,1455
22,106,2842
22,112,250
23,57,3228
23,84,4514
23,24,382
23,82,727
23,9,1872
23,43,1298
