cod_paradero,cod_local,cod_ruta,cod_paradero_tipo,orden
149,84,1,1,1
260,77,1,2,2
378,84,1,2,3
404,38,1,2,4
434,28,1,2,5
470,5,1,2,6
516,62,1,2,7
679,8,1,2,8
680,3,1,2,9
731,71,1,2,10
794,7,1,2,11
888,67,1,3,12
218,42,2,1,1
272,49,2,2,2
605,22,2,2,3
691,69,2,2,4
720,73,2,2,5
742,78,2,2,6
748,31,2,2,7
841,52,2,3,8
162,99,3,1,1
472,89,3,2,2
637,3,3,2,3
665,22,3,2,4
750,40,3,2,5
843,49,3,2,6
933,9,3,3,7
121,59,4,1,1
306,86,4,2,2
373,52,4,2,3
497,99,4,2,4
533,40,4,2,5
773,64,4,2,6
991,20,4,3,7
7,51,5,2,3
30,30,5,2,2
32,40,5,2,2
89,90,5,2,2
198,58,5,3,4
226,46,5,1,1
348,36,5,2,2
386,31,5,2,3
430,90,5,2,2
448,16,5,2,2
593,61,5,2,3
889,76,5,3,4
893,99,5,1,1
922,59,5,2,2
181,99,6,3,4
296,33,6,2,3
350,71,6,2,2
586,35,6,1,1
609,65,6,3,4
710,56,6,1,1
913,80,6,1,1
102,61,7,1,1
122,54,7,2,2
156,17,7,2,3
227,63,7,1,1
481,10,7,3,4
506,34,7,2,3
583,12,7,2,3
628,32,7,2,3
647,2,7,1,1
836,34,7,2,2
846,53,7,2,3
964,53,7,2,3
40,68,8,3,4
176,26,8,1,1
201,79,8,2,2
382,51,8,2,3
439,96,8,2,3
442,8,8,2,2
738,1,8,2,2
782,64,8,2,2
809,28,8,2,3
818,65,8,3,4
842,64,8,2,3
881,8,8,2,3
5,15,9,2,2
155,26,9,3,4
566,8,9,1,1
576,80,9,2,2
666,59,9,1,1
765,18,9,2,3
948,99,9,2,2
966,19,9,2,2
71,86,10,3,4
400,63,10,1,1
417,14,10,2,2
532,10,10,2,2
704,44,10,2,3
99,66,11,1,1
219,17,11,2,2
297,96,11,2,3
415,70,11,2,2
428,97,11,2,3
459,85,11,2,2
632,98,11,3,4
853,9,11,2,3
870,10,11,2,2
931,2,11,1,1
19,41,12,2,3
144,37,12,3,4
146,80,12,3,4
221,52,12,2,2
243,97,12,3,4
269,72,12,2,2
383,27,12,3,4
395,26,12,2,3
423,48,12,3,4
450,15,12,2,3
540,84,12,3,4
546,53,12,1,1
636,55,12,3,4
649,62,12,1,1
700,20,12,2,2
723,69,12,1,1
756,17,12,2,3
806,51,12,1,1
927,99,12,1,1
50,54,13,2,3
63,60,13,2,3
127,16,13,2,2
192,88,13,2,3
249,4,13,2,2
491,15,13,3,4
650,48,13,2,3
673,56,13,1,1
726,81,13,3,4
844,93,13,3,4
890,31,13,2,3
899,38,13,2,3
999,22,13,3,4
45,81,14,3,4
48,97,14,1,1
82,29,14,2,3
92,23,14,2,3
274,83,14,3,4
358,92,14,2,2
444,96,14,2,2
500,52,14,2,3
597,55,14,3,4
615,32,14,1,1
877,31,14,3,4
14,24,15,2,2
41,91,15,3,4
204,83,15,3,4
255,100,15,3,4
313,92,15,2,3
389,46,15,3,4
427,51,15,2,3
482,32,15,3,4
527,38,15,3,4
548,25,15,3,4
660,65,15,2,2
757,79,15,3,4
774,38,15,2,3
884,79,15,2,3
262,90,16,3,3
411,56,16,1,1
484,51,16,1,1
946,80,16,3,3
8,66,17,3,4
98,98,17,2,3
213,100,17,3,4
241,17,17,3,4
264,20,17,2,2
277,64,17,1,1
384,66,17,3,4
431,72,17,3,4
469,85,17,3,4
487,16,17,1,1
498,90,17,3,4
711,43,17,2,3
754,72,17,2,2
850,32,17,3,4
322,92,18,3,4
567,18,18,2,2
594,25,18,1,1
668,66,18,2,3
741,48,18,2,2
814,18,18,2,3
875,91,18,3,4
910,84,18,2,2
925,20,18,3,4
43,82,19,2,3
77,40,19,2,2
94,33,19,1,1
120,68,19,3,4
246,17,19,2,3
314,9,19,1,1
438,85,19,3,4
456,15,19,1,1
552,49,19,1,1
709,38,19,1,1
793,56,19,1,1
815,80,19,2,3
824,40,19,2,2
851,81,19,2,2
882,97,19,1,1
113,46,20,3,3
242,25,20,2,2
461,53,20,2,2
523,5,20,2,2
623,1,20,1,1
868,70,20,2,2
13,58,21,2,2
126,74,21,3,4
275,71,21,2,2
312,39,21,2,2
468,78,21,3,4
827,98,21,2,3
940,14,21,2,3
17,97,22,1,1
34,83,22,2,2
239,78,22,2,2
250,46,22,3,4
341,62,22,1,1
557,91,22,1,1
633,52,22,1,1
712,45,22,3,4
857,42,22,2,3
906,56,22,3,4
145,29,23,3,4
165,22,23,2,2
203,84,23,2,3
342,95,23,2,3
600,84,23,1,1
641,75,23,3,4
667,82,23,1,1
871,34,23,3,4
876,28,23,2,2
26,60,24,1,1
31,93,24,3,4
118,5,24,1,1
370,96,24,1,1
397,94,24,3,4
804,80,24,3,4
828,73,24,1,1
845,14,24,2,2
47,67,25,1,1
60,14,25,2,2
72,33,25,1,1
174,88,25,2,3
433,79,25,2,2
495,66,25,3,4
656,15,25,3,4
9,40,26,1,1
46,29,26,2,3
111,80,26,3,4
194,75,26,3,4
420,53,26,3,4
524,23,26,2,2
802,77,26,2,2
807,42,26,1,1
825,49,26,2,3
874,89,26,2,3
982,36,26,1,1
170,76,27,3,4
254,23,27,1,1
282,13,27,2,2
453,58,27,2,2
514,25,27,2,3
730,34,27,2,2
764,21,27,3,4
803,59,27,2,3
840,88,27,2,2
983,2,27,2,2
3,61,28,3,4
67,71,28,2,3
79,36,28,2,3
336,51,28,1,1
418,13,28,1,1
451,95,28,1,1
479,61,28,3,4
536,73,28,1,1
789,2,28,2,2
852,65,28,1,1
872,90,28,1,1
76,48,29,1,1
167,15,29,2,3
663,24,29,1,1
721,53,29,3,4
887,47,29,3,4
993,61,29,2,2
1000,63,29,1,1
20,31,30,3,4
57,74,30,3,4
230,46,30,2,3
357,95,30,3,4
391,41,30,1,1
393,99,30,2,2
550,35,30,2,2
867,1,30,1,1
917,92,30,2,2
988,73,30,3,4
80,97,31,2,2
93,38,31,3,4
158,71,31,1,1
200,27,31,2,3
207,53,31,2,3
365,86,31,2,3
496,12,31,2,2
541,5,31,2,3
617,57,31,1,1
908,28,31,2,3
38,81,32,1,1
51,61,32,2,2
349,17,32,1,1
390,100,32,3,3
572,3,32,3,3
661,83,32,2,2
681,11,32,3,3
74,26,33,2,3
268,98,33,2,2
625,76,33,3,4
823,87,33,1,1
61,56,34,2,2
125,75,34,3,4
394,12,34,2,3
398,96,34,2,3
432,6,34,2,3
554,62,34,3,4
654,18,34,2,2
969,40,34,2,3
25,3,35,1,1
108,20,35,3,4
131,21,35,3,4
318,39,35,2,2
443,54,35,2,3
471,72,35,2,3
640,50,35,1,1
643,14,35,2,3
787,67,35,1,1
