cod_pedido,cod_representante,cod_empleado,cod_pedido_tipo,cod_pedido_estado,fecha_registro,cod_ticket
1,117,297,V,A,2022-06-19,1
2,65,216,A,R,2021-01-24,2
3,495,409,V,F,2020-03-01,3
4,320,473,V,R,2021-12-25,4
5,168,418,A,R,2019-10-02,5
6,183,88,A,P,2023-08-01,6
7,578,424,A,P,2023-01-02,7
8,599,89,A,R,2024-03-14,8
9,598,130,A,A,2021-07-26,9
10,244,5,V,P,2023-03-31,10
11,369,78,A,A,2022-04-13,11
12,120,20,A,R,2021-07-15,12
13,253,45,A,A,2022-04-26,13
14,481,185,V,A,2023-10-07,14
15,81,303,V,A,2022-08-07,15
16,370,207,V,A,2019-06-12,16
17,48,440,A,R,2022-05-25,17
18,347,193,A,R,2022-02-25,18
19,111,198,A,R,2023-10-18,19
20,352,428,A,F,2021-01-21,20
21,97,147,A,P,2020-07-30,21
22,115,89,A,F,2021-12-18,22
23,122,136,A,F,2022-02-01,23
24,342,81,A,P,2024-02-20,24
25,121,134,A,P,2021-06-06,25
26,166,277,V,A,2019-02-11,26
27,371,117,V,R,2021-08-19,27
28,163,407,A,F,2020-04-08,28
29,340,49,V,F,2023-03-04,29
30,473,148,A,F,2022-07-29,30
31,463,96,A,P,2021-07-10,31
32,253,78,V,A,2020-02-24,32
33,210,32,V,A,2021-12-15,33
34,65,179,A,F,2022-05-19,34
35,468,221,V,F,2019-12-14,35
36,202,267,A,R,2022-11-06,36
37,592,145,V,R,2020-04-26,37
38,318,299,A,R,2019-05-05,38
39,219,268,A,P,2020-11-08,39
40,383,206,A,F,2023-11-12,40
41,199,410,V,R,2021-03-02,41
42,469,142,A,A,2023-05-03,42
43,138,319,A,R,2021-10-27,43
44,75,469,V,P,2020-04-10,44
45,357,485,A,P,2019-05-25,45
46,547,471,A,P,2020-02-09,46
47,202,76,A,A,2022-02-01,47
48,72,446,V,F,2023-02-05,48
49,160,325,V,A,2022-05-25,49
50,455,16,A,A,2023-11-03,50
51,264,461,V,A,2020-08-02,51
52,140,115,V,F,2020-07-02,52
53,77,281,A,P,2020-03-06,53
54,607,436,A,A,2023-11-16,54
55,396,395,A,A,2023-10-12,55
56,504,405,A,P,2022-05-29,56
57,422,484,V,P,2019-07-24,57
58,94,295,A,P,2023-06-10,58
59,53,37,V,A,2023-09-12,59
60,309,392,A,P,2019-05-09,60
61,471,116,A,A,2021-04-09,61
62,312,117,A,R,2021-07-13,62
63,189,470,V,R,2019-12-09,63
64,453,434,A,A,2020-07-08,64
65,562,247,V,F,2021-04-18,65
66,390,488,V,F,2020-07-04,66
67,528,137,A,A,2019-02-19,67
68,144,34,V,A,2021-05-28,68
69,411,372,A,R,2020-03-26,69
70,353,160,V,P,2020-08-19,70
71,404,35,A,R,2023-05-21,71
72,54,247,V,F,2021-04-01,72
73,406,342,V,F,2019-11-09,73
74,390,253,A,R,2022-04-27,74
75,590,324,V,R,2023-12-11,75
76,205,178,A,P,2021-11-27,76
77,523,153,V,P,2021-05-09,77
78,388,212,V,A,2020-01-18,78
79,24,60,V,F,2021-06-30,79
80,375,442,A,A,2022-03-10,80
81,423,51,A,F,2021-02-15,81
82,304,410,A,P,2019-05-27,82
83,208,344,A,R,2020-08-22,83
84,364,67,V,P,2019-01-01,84
85,428,330,V,R,2021-05-18,85
86,329,145,A,P,2023-08-31,86
87,229,487,A,A,2023-12-03,87
88,306,417,A,R,2021-02-21,88
89,567,226,V,F,2022-05-29,89
90,111,310,A,R,2020-05-27,90
91,527,314,V,F,2019-12-18,91
92,200,114,A,R,2019-10-28,92
93,470,32,A,F,2019-10-26,93
