cod_ticket,fecha_entrega
1,2021-12-03
2,2021-04-19
3,2023-12-10
4,2024-04-03
5,2024-03-05
6,2023-05-14
7,2022-08-25
8,2020-11-18
9,2020-06-20
10,2023-06-17
11,2020-01-23
12,2021-08-05
13,2021-01-24
14,2021-01-31
15,2022-03-02
16,2021-10-20
17,2020-06-17
18,2022-05-15
19,2023-08-27
20,2022-01-23
21,2022-08-19
22,2023-01-28
23,2022-08-03
24,2021-02-05
25,2022-07-22
26,2020-10-11
27,2021-07-16
28,2020-04-17
29,2024-07-29
30,2024-03-31
31,2022-03-18
32,2020-03-12
33,2021-09-11
34,2021-12-30
35,2024-05-28
36,2021-12-19
37,2020-02-10
38,2024-06-04
39,2020-03-26
40,2021-03-01
41,2024-07-02
42,2021-06-16
43,2022-09-23
44,2021-01-30
45,2022-10-22
46,2021-06-03
47,2021-07-11
48,2020-07-10
49,2021-05-07
50,2023-08-02
51,2020-11-04
52,2024-05-11
53,2020-07-03
54,2020-01-19
55,2024-07-06
56,2021-05-10
57,2023-02-06
58,2024-01-14
59,2022-07-14
60,2021-07-28
61,2021-11-25
62,2024-03-21
63,2023-09-25
64,2021-04-21
65,2023-12-16
66,2023-11-27
67,2023-10-10
68,2021-11-21
69,2020-06-11
70,2022-10-23
71,2022-03-30
72,2021-10-02
73,2022-05-06
74,2023-08-18
75,2020-03-26
76,2022-06-20
77,2022-07-17
78,2021-08-13
79,2021-11-29
80,2020-01-29
81,2024-03-21
82,2020-10-11
83,2020-04-09
84,2023-01-21
85,2022-05-19
86,2020-06-05
87,2024-01-16
88,2023-11-27
89,2024-01-03
90,2024-06-07
91,2022-02-15
92,2021-10-31
93,2024-07-19
94,2021-03-21
95,2024-04-16
96,2024-04-15
97,2020-04-24
98,2022-09-27
99,2023-06-16
100,2020-11-23
101,2021-09-15
102,2020-08-31
103,2020-08-26
104,2023-05-17
105,2021-09-23
106,2021-02-06
107,2021-05-15
108,2020-07-06
109,2024-04-23
110,2022-01-22
111,2021-03-11
112,2022-04-04
113,2023-02-09
114,2020-09-23
115,2021-07-13
116,2020-04-26
117,2024-03-24
118,2021-11-15
119,2021-06-07
120,2020-11-27
121,2020-09-18
122,2022-07-01
123,2022-03-29
124,2021-03-22
125,2022-08-16
126,2020-07-21
127,2023-12-05
128,2022-04-20
129,2021-06-22
130,2021-09-20
131,2020-05-03
132,2020-06-22
133,2021-09-03
134,2020-10-08
135,2023-09-26
136,2023-11-03
137,2023-10-11
138,2023-09-23
139,2020-08-21
140,2021-01-22
141,2021-06-04
142,2022-04-18
143,2021-08-08
144,2022-11-28
145,2022-12-23
146,2023-09-16
147,2023-11-14
148,2024-03-10
149,2020-07-16
150,2021-03-24
151,2024-05-16
152,2020-06-12
153,2021-02-25
154,2022-05-23
155,2021-02-05
156,2020-08-09
157,2023-03-28
158,2023-07-08
159,2021-08-10
160,2024-03-08
161,2020-02-29
162,2021-01-22
163,2021-02-22
164,2024-06-10
165,2022-11-23
166,2024-05-06
167,2023-05-21
168,2021-01-11
169,2020-09-12
170,2020-05-11
171,2022-11-28
172,2023-06-07
173,2024-06-05
174,2021-11-09
175,2020-11-25
176,2020-10-28
177,2023-06-24
178,2023-04-04
179,2020-04-06
180,2022-08-10
181,2020-09-15
182,2023-09-19
183,2020-02-12
184,2023-09-07
185,2023-07-13
186,2024-06-03
187,2022-10-11
188,2020-10-01
189,2021-11-09
190,2020-03-17
191,2021-08-17
192,2020-05-11
193,2023-08-25
194,2024-03-09
195,2021-12-05
196,2021-02-21
197,2023-05-12
198,2021-10-01
199,2022-03-10
200,2023-01-04
201,2022-02-02
202,2022-05-07
203,2022-03-11
204,2020-12-29
205,2020-11-09
206,2022-04-04
207,2023-01-31
208,2023-10-25
209,2022-01-04
210,2022-11-21
211,2022-05-11
212,2023-06-22
213,2022-12-29
214,2021-01-19
215,2024-07-05
216,2021-04-11
217,2020-05-03
218,2022-02-02
219,2023-12-10
220,2021-12-19
221,2021-02-23
222,2023-08-06
223,2020-03-18
224,2020-01-13
225,2022-09-16
226,2020-05-26
227,2023-12-25
228,2020-11-18
229,2021-06-24
230,2020-12-11
231,2024-02-21
232,2020-12-26
233,2024-01-19
234,2020-03-03
235,2021-12-17
236,2023-10-02
237,2024-02-02
238,2022-12-14
239,2022-01-21
240,2021-09-13
241,2023-03-09
242,2022-07-09
243,2021-09-17
244,2021-03-06
245,2020-07-23
246,2022-01-08
247,2020-04-08
248,2020-08-13
249,2021-10-28
250,2020-01-04
251,2024-03-22
252,2021-01-13
253,2022-10-22
254,2020-12-20
255,2020-07-03
256,2020-08-04
257,2024-01-27
258,2022-12-08
259,2021-11-24
260,2023-09-14
261,2020-06-22
262,2022-05-03
263,2020-06-15
264,2020-10-26
265,2020-08-06
266,2020-01-31
267,2021-08-27
268,2023-01-01
269,2020-07-31
270,2023-11-21
271,2020-05-02
272,2020-03-11
273,2020-12-31
274,2023-03-03
275,2020-10-09
276,2023-05-12
277,2021-11-16
278,2023-10-17
279,2022-03-04
280,2020-09-03
281,2020-06-06
282,2023-01-27
283,2024-07-22
284,2023-10-24
285,2024-06-16
286,2022-06-02
287,2020-02-03
288,2021-08-04
289,2022-06-06
290,2020-03-28
291,2023-05-16
292,2021-03-31
293,2020-12-28
294,2020-08-28
295,2023-01-06
296,2021-10-04
297,2022-09-26
298,2022-05-21
299,2022-11-11
300,2022-09-12
301,2024-02-19
302,2023-05-15
303,2023-02-26
304,2023-01-06
305,2023-05-26
306,2021-03-27
307,2022-09-24
308,2023-02-21
309,2020-09-06
310,2021-06-13
311,2021-08-19
312,2022-10-20
313,2020-12-23
314,2020-12-03
315,2020-01-02
316,2020-11-14
317,2023-11-29
318,2024-05-31
319,2022-05-05
320,2020-04-24
321,2022-02-14
322,2024-03-13
323,2020-02-26
324,2021-06-07
325,2020-10-21
326,2020-02-16
327,2020-05-06
328,2023-11-26
329,2022-07-18
330,2022-05-26
331,2024-02-29
332,2024-01-18
333,2022-06-21
334,2024-05-03
335,2021-04-09
336,2021-04-01
337,2023-07-18
338,2020-04-07
339,2023-03-24
340,2024-04-26
341,2021-02-03
342,2023-05-02
343,2023-03-28
344,2022-06-29
345,2022-03-24
346,2023-05-10
347,2024-04-16
348,2023-01-04
349,2020-01-24
350,2022-07-26
351,2021-04-28
352,2022-02-13
353,2022-08-27
354,2020-12-29
355,2023-01-25
356,2023-09-30
357,2020-07-15
358,2021-04-30
359,2022-01-22
360,2021-01-12
361,2020-08-30
362,2022-04-23
363,2022-01-03
364,2020-09-13
365,2020-11-17
366,2022-11-14
367,2022-12-30
368,2022-03-23
369,2021-12-14
370,2022-03-30
371,2021-03-26
372,2023-03-03
373,2022-03-24
374,2022-08-10
375,2022-01-21
376,2022-07-05
377,2020-01-05
378,2023-10-30
379,2024-01-07
380,2020-10-14
381,2024-07-28
382,2022-09-25
383,2023-11-11
384,2020-01-03
385,2021-09-15
386,2022-05-13
387,2021-09-25
388,2023-12-17
389,2024-06-16
390,2022-08-16
391,2021-06-13
392,2021-09-21
393,2020-08-11
394,2023-07-31
395,2023-12-11
396,2023-02-05
397,2020-10-16
398,2023-06-21
399,2023-07-20
400,2023-09-24
401,2022-09-27
402,2021-06-09
403,2021-04-22
404,2020-08-01
405,2020-07-23
406,2021-07-22
407,2023-06-21
408,2021-11-27
409,2023-02-07
410,2021-01-13
411,2022-05-17
412,2023-12-04
413,2021-01-14
414,2020-02-08
415,2023-12-05
416,2020-10-11
417,2023-03-12
418,2020-11-01
419,2021-07-07
420,2021-01-19
421,2022-11-29
422,2023-09-19
423,2024-05-30
424,2022-08-12
425,2024-05-16
426,2020-05-27
427,2021-07-03
428,2022-08-28
429,2022-12-27
430,2020-01-26
431,2020-05-11
432,2024-04-11
433,2023-12-30
434,2024-01-31
435,2020-03-13
436,2021-05-24
437,2022-05-22
438,2021-03-09
439,2022-06-28
440,2024-05-09
441,2020-06-02
442,2022-08-19
443,2021-09-20
444,2022-07-03
445,2023-03-16
446,2023-10-20
447,2022-12-10
448,2022-12-11
449,2021-09-23
450,2023-09-26
451,2020-10-01
452,2022-10-24
453,2021-09-16
454,2021-10-12
455,2021-08-10
456,2022-05-23
457,2020-08-28
458,2023-12-12
459,2022-06-22
460,2020-04-04
461,2023-04-05
462,2020-05-14
463,2020-11-05
464,2023-11-14
465,2022-09-20
466,2021-07-07
467,2022-01-16
468,2023-09-13
469,2020-09-23
470,2023-09-22
471,2020-05-01
472,2023-04-28
473,2023-05-02
474,2023-12-09
475,2024-05-25
476,2021-04-25
477,2020-05-20
478,2020-11-04
479,2022-02-01
480,2021-01-31
481,2023-11-07
482,2020-08-17
483,2020-02-24
484,2023-01-12
485,2022-09-17
486,2023-02-17
487,2021-06-16
488,2022-01-24
489,2022-06-18
490,2022-02-11
491,2024-05-25
492,2023-04-20
493,2020-03-13
494,2022-10-31
495,2022-08-26
496,2024-01-16
497,2024-05-01
498,2024-03-05
499,2023-01-22
500,2020-08-06
501,2023-10-09
502,2021-01-13
503,2022-03-09
504,2022-10-30
505,2023-03-25
506,2021-06-26
507,2023-07-30
508,2022-08-14
509,2020-09-26
510,2020-01-29
511,2023-04-01
512,2020-11-27
513,2024-02-18
514,2020-05-14
515,2021-06-12
516,2024-05-14
517,2020-04-20
518,2022-10-17
519,2023-12-01
520,2023-03-29
521,2020-04-01
522,2022-06-12
523,2023-11-19
524,2021-12-10
525,2024-02-03
526,2020-07-19
527,2021-01-22
528,2023-05-24
529,2022-04-09
530,2020-07-15
531,2022-02-25
532,2022-04-30
533,2023-11-19
534,2023-05-26
535,2022-07-22
536,2020-11-12
537,2021-08-04
538,2021-09-02
539,2022-08-12
540,2021-07-30
541,2020-11-23
542,2020-07-24
543,2022-07-16
544,2024-02-26
545,2022-01-14
546,2020-08-13
547,2021-08-25
548,2020-07-11
549,2022-10-10
550,2020-06-01
551,2022-03-13
552,2020-04-24
553,2023-07-12
554,2021-06-20
555,2021-05-11
556,2021-05-11
557,2024-06-20
558,2022-10-29
559,2022-09-12
560,2022-05-30
561,2021-02-02
562,2020-07-30
563,2022-02-06
564,2023-09-13
565,2020-01-13
566,2021-03-20
567,2021-09-06
568,2022-04-28
569,2024-02-06
570,2020-01-12
571,2022-07-06
572,2023-06-09
573,2020-05-05
574,2022-04-14
575,2023-11-08
576,2021-01-27
577,2021-11-02
578,2020-03-08
579,2023-10-20
580,2023-08-19
581,2023-11-13
582,2021-05-18
583,2022-08-28
584,2021-09-22
585,2021-05-16
586,2021-10-31
587,2023-07-31
588,2022-05-21
589,2024-07-28
590,2022-10-01
591,2021-08-23
592,2023-02-28
593,2020-09-21
594,2023-09-14
595,2020-01-06
596,2020-09-28
597,2024-07-04
598,2020-11-29
599,2022-09-05
600,2023-04-28
601,2024-06-30
602,2023-04-17
603,2023-01-12
604,2021-01-19
605,2023-05-22
606,2020-11-30
607,2024-06-29
608,2024-03-21
609,2023-10-07
610,2021-08-31
611,2021-04-05
612,2023-04-10
613,2021-08-01
614,2021-06-21
615,2021-11-09
616,2020-12-02
617,2022-12-17
618,2021-07-13
619,2022-04-11
620,2024-01-21
621,2020-08-05
622,2020-07-29
623,2024-05-21
624,2020-07-25
625,2024-07-04
626,2023-05-18
627,2020-11-19
628,2022-11-05
629,2021-03-08
630,2022-07-15
631,2020-11-02
632,2021-04-20
633,2023-01-04
634,2024-01-18
635,2020-06-27
636,2024-03-15
637,2021-11-21
638,2024-04-06
639,2024-03-15
640,2022-05-06
641,2022-07-14
642,2023-09-22
643,2022-08-08
644,2022-04-28
645,2023-09-29
646,2020-04-02
647,2022-10-12
648,2021-07-26
649,2022-03-23
650,2020-04-08
651,2023-07-30
652,2023-08-07
653,2024-04-05
654,2022-10-20
655,2020-03-03
656,2021-06-06
657,2022-06-16
658,2021-05-28
659,2023-05-18
660,2024-03-19
661,2023-04-18
662,2023-08-04
663,2023-07-31
664,2021-01-07
665,2023-10-10
666,2021-11-20
667,2022-06-28
668,2020-11-20
669,2024-07-22
670,2021-08-28
671,2024-01-02
672,2022-12-07
673,2021-05-14
674,2021-07-30
675,2023-01-13
676,2022-06-03
677,2024-01-19
678,2022-03-23
679,2020-12-11
680,2022-06-16
681,2023-07-05
682,2023-03-31
683,2020-08-15
684,2022-04-04
685,2023-05-06
686,2021-09-22
687,2020-06-02
688,2023-04-28
689,2020-08-31
690,2023-03-24
691,2023-09-18
692,2024-07-03
693,2021-05-11
694,2022-04-04
695,2024-05-03
696,2023-01-07
697,2020-07-05
698,2023-12-07
699,2023-03-08
700,2022-07-25
701,2024-01-01
702,2023-01-20
703,2020-12-03
704,2021-01-04
705,2023-12-25
706,2024-01-28
707,2020-11-22
708,2022-09-25
709,2024-05-26
710,2024-06-07
711,2021-02-13
712,2020-10-18
713,2022-03-17
714,2023-12-25
715,2020-08-02
716,2023-09-04
717,2024-03-17
718,2021-08-08
719,2023-09-23
720,2021-12-27
721,2022-08-31
722,2024-02-08
723,2022-07-13
724,2023-07-02
725,2021-06-26
726,2020-04-06
727,2022-02-12
728,2020-09-02
729,2022-09-30
730,2021-09-19
731,2022-06-19
732,2020-10-05
733,2023-05-13
734,2022-02-28
735,2023-09-26
736,2021-10-20
737,2024-04-06
738,2020-09-28
739,2024-06-24
740,2021-09-23
741,2023-02-06
742,2021-01-13
743,2021-04-26
744,2023-09-07
745,2020-09-21
746,2020-06-21
747,2023-07-24
748,2020-04-05
749,2023-11-07
750,2023-04-08
751,2021-12-14
752,2024-04-20
753,2022-05-14
754,2022-08-31
755,2022-03-13
756,2022-11-06
757,2023-02-11
758,2022-05-13
759,2020-03-27
760,2020-10-13
761,2021-07-01
762,2020-12-31
763,2021-09-10
764,2023-09-24
765,2022-01-13
766,2022-02-27
767,2023-01-19
768,2022-10-12
769,2023-11-01
770,2022-06-04
771,2020-02-21
772,2023-03-16
773,2022-03-21
774,2023-09-27
775,2021-06-08
776,2021-01-02
777,2023-11-24
778,2023-10-12
779,2021-11-14
780,2020-08-10
781,2021-03-04
782,2021-09-27
783,2023-12-29
784,2024-04-10
785,2021-11-14
786,2024-05-17
787,2020-02-27
788,2024-01-01
789,2024-07-24
790,2022-01-17
791,2023-12-28
792,2020-10-18
793,2021-02-17
794,2023-11-26
795,2022-10-06
796,2023-03-27
797,2022-11-15
798,2024-02-05
799,2020-12-04
800,2020-05-18
801,2022-02-01
802,2024-07-20
803,2023-09-04
804,2021-09-28
805,2024-03-08
806,2023-05-11
807,2021-08-29
808,2020-09-19
809,2023-09-25
810,2020-02-29
811,2021-03-19
812,2024-01-31
813,2023-01-03
814,2024-03-14
815,2024-06-23
816,2022-03-15
817,2020-06-05
818,2022-11-08
819,2021-06-01
820,2021-07-14
821,2021-08-03
822,2020-03-19
823,2024-02-07
824,2023-03-27
825,2023-07-11
826,2022-04-18
827,2021-05-26
828,2024-02-13
829,2020-06-14
830,2024-06-05
831,2021-03-30
832,2021-06-07
833,2023-06-17
834,2022-04-02
835,2021-04-19
836,2024-02-23
837,2021-03-24
838,2020-10-14
839,2023-12-26
840,2021-03-04
841,2020-04-24
842,2022-01-31
843,2023-10-24
844,2020-02-14
845,2021-03-04
846,2022-09-22
847,2023-09-10
848,2022-02-04
849,2023-11-07
850,2021-08-17
851,2023-04-20
852,2020-03-26
853,2020-08-03
854,2022-05-30
855,2022-07-03
856,2024-03-02
857,2023-11-05
858,2024-04-29
859,2020-03-09
860,2023-04-09
861,2021-01-08
862,2021-12-14
863,2022-01-25
864,2022-02-08
865,2023-01-02
866,2023-06-04
867,2024-01-08
868,2021-05-23
869,2020-12-31
870,2020-12-20
871,2022-02-17
872,2023-12-15
873,2021-09-15
874,2021-04-17
875,2024-01-13
876,2024-02-06
877,2023-03-15
878,2023-11-26
879,2024-02-03
880,2023-09-21
881,2023-04-08
882,2020-04-15
883,2024-07-27
884,2024-02-13
885,2022-11-16
886,2020-03-20
887,2023-08-30
888,2021-01-25
889,2021-07-29
890,2023-03-25
891,2022-09-07
892,2022-04-13
893,2020-10-20
894,2023-01-21
895,2022-05-05
896,2021-06-03
897,2024-07-12
898,2020-10-31
899,2022-04-06
900,2023-03-22
901,2021-09-27
902,2023-10-03
903,2022-10-20
904,2022-06-19
905,2024-03-01
906,2022-08-08
907,2021-03-29
908,2021-01-26
909,2020-03-14
910,2020-05-08
911,2024-02-06
912,2020-08-22
913,2020-09-27
914,2023-12-12
915,2023-11-02
916,2024-01-08
917,2021-01-18
918,2021-07-30
919,2024-06-24
920,2022-11-27
921,2020-09-22
922,2024-05-30
923,2021-09-15
924,2024-05-25
925,2023-03-13
926,2020-06-17
927,2020-10-11
928,2023-04-20
929,2022-10-09
930,2020-05-15
931,2021-05-24
932,2020-09-25
933,2022-10-15
934,2024-05-03
935,2021-08-26
936,2023-08-31
937,2021-06-27
938,2020-01-10
939,2022-11-20
940,2023-12-26
941,2020-01-29
942,2021-10-12
943,2023-06-11
944,2020-05-05
945,2023-12-06
946,2023-11-15
947,2020-12-15
948,2021-11-03
949,2022-01-30
950,2024-03-15
951,2021-01-21
952,2024-07-20
953,2022-04-13
954,2024-01-16
955,2022-09-19
956,2024-06-02
957,2020-09-19
958,2023-10-19
959,2023-03-22
960,2020-12-21
961,2023-08-02
962,2022-12-14
963,2022-04-16
964,2022-07-23
965,2024-01-13
966,2021-01-11
967,2022-11-06
968,2020-06-07
969,2021-07-24
970,2021-03-08
971,2020-09-25
972,2023-10-01
973,2020-12-09
974,2023-11-26
975,2024-04-29
976,2023-11-22
977,2020-12-02
978,2021-09-12
979,2021-06-20
980,2021-06-27
981,2021-08-14
982,2020-11-17
983,2022-01-27
984,2022-12-06
985,2020-11-21
986,2024-04-27
987,2022-09-12
988,2023-05-06
989,2023-06-26
990,2020-05-02
991,2023-08-07
992,2022-02-18
993,2021-02-25
994,2023-03-09
995,2020-06-07
996,2020-12-31
997,2022-06-14
998,2020-09-05
999,2024-07-08
1000,2021-07-29
1001,2023-01-25
1002,2021-10-04
1003,2020-09-09
1004,2020-12-24
1005,2021-06-18
1006,2021-06-24
1007,2020-12-23
1008,2021-10-19
1009,2022-06-08
1010,2021-12-20
1011,2024-07-13
1012,2024-07-11
1013,2023-02-25
1014,2020-02-13
1015,2021-04-27
1016,2024-07-04
1017,2020-01-17
1018,2020-07-01
1019,2021-08-05
1020,2021-07-24
1021,2023-10-14
1022,2020-12-22
1023,2024-02-19
1024,2020-08-24
1025,2020-03-03
1026,2023-01-22
1027,2022-01-13
1028,2022-12-12
1029,2021-08-27
1030,2020-05-01
1031,2022-05-20
1032,2021-10-21
1033,2022-05-09
1034,2023-11-25
1035,2023-12-22
1036,2022-11-09
1037,2020-06-08
1038,2024-03-21
1039,2023-12-17
1040,2022-10-17
1041,2024-02-17
1042,2021-12-10
1043,2021-04-07
1044,2024-05-06
1045,2023-11-15
1046,2020-05-21
1047,2023-04-15
1048,2023-04-25
1049,2022-03-26
1050,2021-05-18
1051,2020-02-09
1052,2024-06-13
1053,2020-11-08
1054,2022-09-30
1055,2024-01-03
1056,2022-03-16
1057,2023-10-07
1058,2022-01-28
1059,2022-05-31
1060,2023-08-18
1061,2022-02-05
